Data;Dia;Estádio;Tricolor;Pl1;Pl2;Adversário;Campeonato;Setor;Vídeo
18/02/2017;18/02/2017;Morumbi;São Paulo F.C.;2;2;Mirassol;Paulista;Cativa;https://www.youtube.com/watch?v=fY9wcmoyu1Y
18/03/2017;18/03/2017;Morumbi;São Paulo F.C.;1;1;Ituano;Paulista;Cativa;https://www.youtube.com/watch?v=KaYkOIh0ij0
14/10/2017;14/10/2017;Pacaembu;São Paulo F.C.;2;1;Athletico-PR;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=I6DtK8Iu8Yo
22/10/2017;22/10/2017;Pacaembu;São Paulo F.C.;2;0;Flamengo;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=V--nC_EeVJ8
09/11/2017;09/11/2017;Pacaembu;São Paulo F.C.;2;2;Chapecoense;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=HA3DsWOi4eY
21/07/2018;21/07/2018;Morumbi;São Paulo F.C.;3;1;Corinthians;Brasileiro;Cativa;https://www.youtube.com/watch?v=r7LkQPoLQHQ
05/08/2018;05/08/2018;Morumbi;São Paulo F.C.;2;1;Vasco;Brasileiro;Cativa;https://www.youtube.com/watch?v=VsiPiS7uj_o
19/08/2018;19/08/2018;Morumbi;São Paulo F.C.;2;0;Chapecoense;Brasileiro;Cativa;https://www.youtube.com/watch?v=MCLRxGtvKh8
02/09/2018;02/09/2018;Morumbi;São Paulo F.C.;1;1;Fluminense;Brasileiro;Cativa;https://www.youtube.com/watch?v=oMxQT2BvkMM
08/09/2018;08/09/2018;Morumbi;São Paulo F.C.;1;0;Bahia;Brasileiro;Cativa;https://www.youtube.com/watch?v=CQsZwQSeClg
22/09/2018;22/09/2018;Morumbi;São Paulo F.C.;1;1;América-MG;Brasileiro;Cativa;https://www.youtube.com/watch?v=K28SftyoBYA
06/10/2018;06/10/2018;Morumbi;São Paulo F.C.;0;2;Palmeiras;Brasileiro;Cativa;https://www.youtube.com/watch?v=mNJaoubcE40
20/10/2018;20/10/2018;Morumbi;São Paulo F.C.;0;0;Athletico-PR;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=EiqWfdpxNmU
04/11/2018;04/11/2018;Morumbi;São Paulo F.C.;2;2;Flamengo;Brasileiro;Numerada;https://www.youtube.com/watch?v=LwQyjqCgwOU
15/11/2018;15/11/2018;Morumbi;São Paulo F.C.;1;1;Grêmio;Brasileiro;Cativa;https://www.youtube.com/watch?v=5L8G7_HgHTA
18/11/2018;18/11/2018;Morumbi;São Paulo F.C.;1;0;Cruzeiro;Brasileiro;Cativa;https://www.youtube.com/watch?v=WUdMYpMUKbU
26/11/2018;26/11/2018;Morumbi;São Paulo F.C.;0;0;Sport;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=sf7o9zKu95w
13/02/2019;13/02/2019;Morumbi;São Paulo F.C.;0;0;Club Atlético Talleres-ARG;Libertadores;Cativa;https://www.youtube.com/watch?v=EKtD4W3Xgow
16/03/2019;16/03/2019;Morumbi;São Paulo F.C.;0;1;Palmeiras;Paulista;Arquibancada;https://www.youtube.com/watch?v=rsSyDIWesHk
24/03/2019;24/03/2019;Morumbi;São Paulo F.C.;2;1;Ituano;Paulista;Arquibancada;https://www.youtube.com/watch?v=6ZYHOuS5H00
30/03/2019;30/03/2019;Morumbi;São Paulo F.C.;0;0;Palmeiras;Paulista;Arquibancada;https://www.youtube.com/watch?v=IyA3hi4lhlc
27/04/2019;27/04/2019;Morumbi;São Paulo F.C.;2;0;Botafogo-RJ;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=4zjg8qU1K28
05/05/2019;05/05/2019;Morumbi;São Paulo F.C.;1;1;Flamengo;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=IYD3YiwicnA
19/05/2019;19/05/2019;Morumbi;São Paulo F.C.;0;0;Bahia;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=DgV9gDNda0M
22/05/2019;22/05/2019;Morumbi;São Paulo F.C.;0;1;Bahia;Copa do Brasil;Arquibancada;https://www.youtube.com/watch?v=Wc8-WztYMhU
13/07/2019;13/07/2019;Morumbi;São Paulo F.C.;1;1;Palmeiras;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=Dc6snvXaGc8
22/07/2019;22/07/2019;Morumbi;São Paulo F.C.;4;0;Chapecoense;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=UQRg4jMuUVg
15/09/2019;15/09/2019;Morumbi;São Paulo F.C.;1;1;CSA;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=Y-b82hCGQY4
05/10/2019;05/10/2019;Pacaembu;São Paulo F.C.;2;1;Fortaleza;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=mSi0v2u8q1k
13/10/2019;13/10/2019;Morumbi;São Paulo F.C.;1;0;Corinthians;Brasileiro;Cadeira Térrea;https://www.youtube.com/watch?v=F4EQDaCW5dU
20/10/2019;20/10/2019;Morumbi;São Paulo F.C.;1;0;Avaí;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=zN_pIta6VxA
27/10/2019;27/10/2019;Morumbi;São Paulo F.C.;2;0;Atlético-MG;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=3s6u9Rr0vTs
