Data;Dia;Estádio;Tricolor;Pl1;Pl2;Adversário;Campeonato;Setor;Ingresso;VDE;Pontos;Ano;Mês;Vídeo
18/02/2017;sáb;Morumbi;São Paulo F.C.;2;2;Mirassol;Paulista;Cativa;38,5;E;1;2017;2;
18/03/2017;sáb;Morumbi;São Paulo F.C.;1;1;Ituano;Paulista;Cativa;38,5;E;1;2017;3;
14/10/2017;sáb;Pacaembu;São Paulo F.C.;2;1;Athletico-PR;Brasileiro;Numerada;27,5;V;3;2017;10;
22/10/2017;dom;Morumbi;São Paulo F.C.;2;0;Flamengo;Brasileiro;Numerada;44;V;3;2017;10;
09/11/2017;qui;Morumbi;São Paulo F.C.;2;2;Chapecoense;Brasileiro;Numerada;27,5;E;1;2017;11;
21/07/2018;sáb;Morumbi;São Paulo F.C.;3;1;Corinthians;Brasileiro;Cativa;55;V;3;2018;7;
05/08/2018;dom;Morumbi;São Paulo F.C.;2;1;Vasco;Brasileiro;Cativa;55;V;3;2018;8;
19/08/2018;dom;Morumbi;São Paulo F.C.;2;0;Chapecoense;Brasileiro;Cativa;60,5;V;3;2018;8;
02/09/2018;dom;Morumbi;São Paulo F.C.;1;1;Fluminense;Brasileiro;Cativa;66;E;1;2018;9;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/02-09-2018/sao-paulo-fluminense.ghtml?video=6991104&utm_source=google&utm_medium=onebox
08/09/2018;sáb;Morumbi;São Paulo F.C.;1;0;Bahia;Brasileiro;Cativa;71,5;V;3;2018;9;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/08-09-2018/sao-paulo-bahia.ghtml?video=7006664&utm_source=google&utm_medium=onebox
22/09/2018;sáb;Morumbi;São Paulo F.C.;1;1;América-MG;Brasileiro;Cativa;71,5;E;1;2018;9;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/22-09-2018/sao-paulo-america-mg.ghtml?video=7037525&utm_source=google&utm_medium=onebox
06/10/2018;sáb;Morumbi;São Paulo F.C.;0;2;Palmeiras;Brasileiro;Cativa;88;D;0;2018;10;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/06-10-2018/sao-paulo-palmeiras.ghtml?video=7070247&utm_source=google&utm_medium=onebox
20/10/2018;sáb;Morumbi;São Paulo F.C.;0;0;Athletico-PR;Brasileiro;Arquibancada;27,5;E;1;2018;10;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/20-10-2018/sao-paulo-atletico-pr.ghtml?video=7103450utm_source=google&utm_medium=onebox
04/11/2018;dom;Morumbi;São Paulo F.C.;2;2;Flamengo;Brasileiro;Numerada;38,5;E;1;2018;11;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/04-11-2018/sao-paulo-flamengo.ghtml?video=7137482&utm_source=google&utm_medium=onebox
15/11/2018;qui;Morumbi;São Paulo F.C.;1;1;Grêmio;Brasileiro;Cativa;55;E;1;2018;11;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/15-11-2018/sao-paulo-gremio.ghtml?video=7164970&utm_source=google&utm_medium=onebox
18/11/2018;dom;Morumbi;São Paulo F.C.;1;0;Cruzeiro;Brasileiro;Cativa;55;V;3;2018;11;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/18-11-2018/sao-paulo-cruzeiro.ghtml?video=7170190&utm_source=google&utm_medium=onebox
26/11/2018;seg;Morumbi;São Paulo F.C.;0;0;Sport;Brasileiro;Arquibancada;22;E;1;2018;11;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/26-11-2018/sao-paulo-sport.ghtml?video=7189588&utm_source=google&utm_medium=onebox
13/02/2019;qua;Morumbi;São Paulo F.C.;0;0;Club Atlético Talleres-ARG;Libertadores;Cativa;121;E;1;2019;2;https://www.youtube.com/watch?v=qBirXl2O35Y&feature=onebox
16/03/2019;sáb;Morumbi;São Paulo F.C.;0;1;Palmeiras;Paulista;Arquibancada;27,5;D;0;2019;3;
24/03/2019;dom;Morumbi;São Paulo F.C.;2;1;Ituano;Paulista;Arquibancada;22;V;3;2019;3;
30/03/2019;sáb;Morumbi;São Paulo F.C.;0;0;Palmeiras;Paulista;Arquibancada;33;E;1;2019;3;
27/04/2019;sáb;Morumbi;São Paulo F.C.;2;0;Botafogo-RJ;Brasileiro;Arquibancada;27,5;V;3;2019;4;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/27-04-2019/sao-paulo-botafogo.ghtml?video=7573748&utm_source=google&utm_medium=onebox
05/05/2019;dom;Morumbi;São Paulo F.C.;1;1;Flamengo;Brasileiro;Arquibancada;38,5;E;1;2019;5;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/05-05-2019/sao-paulo-flamengo.ghtml?video=75924654&utm_source=google&utm_medium=onebox
19/05/2019;dom;Morumbi;São Paulo F.C.;0;1;Bahia;Copa do Brasil;Arquibancada;38,5;D;0;2019;5;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/19-05-2019/sao-paulo-bahia.ghtml?video=7627174&utm_source=google&utm_medium=onebox
13/07/2019;sáb;Morumbi;São Paulo F.C.;1;1;Palmeiras;Brasileiro;Arquibancada;22;E;1;2019;7;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/13-07-2019/sao-paulo-palmeiras.ghtml?video=77637988&utm_source=google&utm_medium=onebox
22/07/2019;seg;Morumbi;São Paulo F.C.;4;0;Chapecoense;Brasileiro;Arquibancada;16,5;V;3;2019;7;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/22-07-2019/sao-paulo-chapecoense.ghtml?video=7784998&utm_source=google&utm_medium=onebox
15/09/2019;dom;Morumbi;São Paulo F.C.;1;1;CSA;Brasileiro;Arquibancada;27,5;E;1;2019;9;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/15-09-2019/sao-paulo-csa-al.ghtml?video=7925285&utm_source=google&utm_medium=onebox
05/10/2019;sáb;Morumbi;São Paulo F.C.;2;1;Fortaleza;Brasileiro;Cativa;99;V;3;2019;10;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/05-10-2019/sao-paulo-fortaleza.ghtml?video=7978474&utm_source=google&utm_medium=onebox
13/10/2019;dom;Morumbi;São Paulo F.C.;1;0;Corinthians;Brasileiro;Cadeira Térrea;66;V;3;2019;10;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/13-10-2019/sao-paulo-corinthians.ghtml?video=7999430&utm_source=google&utm_medium=onebox
20/10/2019;dom;Morumbi;São Paulo F.C.;1;0;Avaí;Brasileiro;Arquibancada;27,5;V;3;2019;10;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/20-10-2019/sao-paulo-avai.ghtml?video=8019584&utm_source=google&utm_medium=onebox
27/10/2019;dom;Morumbi;São Paulo F.C.;2;0;Atlético-MG;Brasileiro;Arquibancada;33;V;3;2019;10;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/27-10-2019/sao-paulo-atletico-mg.ghtml?video=8038707&utm_source=google&utm_medium=onebox
07/11/2019;qui;Morumbi;São Paulo F.C.;0;2;Fluminense;Brasileiro;Arquibancada;22;D;0;2019;11;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/07-11-2019/sao-paulo-fluminense.ghtml?video=8070103&utm_source=google&utm_medium=onebox
10/11/2019;dom;Morumbi;São Paulo F.C.;0;1;Athletico-PR;Brasileiro;Arquibancada;22;D;0;2019;11;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/10-11-2019/sao-paulo-atletico-pr.ghtml?video=8076039utm_source=google&utm_medium=onebox
04/12/2019;qua;Morumbi;São Paulo F.C.;2;1;Internacional;Brasileiro;Cativa;33;V;3;2019;12;https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/04-12-2019/sao-paulo-internacional.ghtml?video=8140586&utm_source=google&utm_medium=onebox
15/02/2020;sáb;Morumbi;São Paulo F.C.;0;0;Corinthians;Paulista;Arquibancada;33;E;1;2020;2;
01/03/2020;dom;Morumbi;São Paulo F.C.;2;1;Ponte Preta;Paulista;Arquibancada;22;V;3;2020;3;
11/03/2020;qua;Morumbi;São Paulo F.C.;3;0;LDU-EQU;Libertadores;Arquibancada;220;V;3;2020;3;
14/10/2021;qui;Morumbi;São Paulo F.C.;1;1;Ceará;Brasileiro;Arquibancada;38,5;E;1;2021;10;
31/10/2021;dom;Morumbi;São Paulo F.C.;1;0;Internacional;Brasileiro;Arquibancada;38,5;V;3;2021;10;
14/11/2021;dom;Morumbi;São Paulo F.C.;0;4;Flamengo;Brasileiro;Numerada;66;D;0;2021;11;
24/11/2021;qua;Morumbi;São Paulo F.C.;0;0;Athletico-PR;Brasileiro;Arquibancada;16,5;E;1;2021;11;
06/12/2021;seg;Morumbi;São Paulo F.C.;3;1;Juventude;Brasileiro;Arquibancada;16,5;V;3;2021;12;
17/02/2022;qui;Morumbi;São Paulo F.C.;0;0;Inter de Limeira;Paulista;Arquibancada;27,5;E;1;2022;2;https://www.youtube.com/watch?v=km17u7m6TWE&feature=onebox
16/03/2022;qua;Morumbi;São Paulo F.C.;2;0;Manaus;Copa do Brasil;Arquibancada;27,5;V;3;2022;3;
19/03/2022;sáb;Morumbi;São Paulo F.C.;2;1;Botafogo-SP;Paulista;Arquibancada;27,5;V;3;2022;3;https://www.youtube.com/watch?v=O6L_lXVNLh0&feature=onebox
22/03/2022;ter;Morumbi;São Paulo F.C.;4;1;São Bernardo;Paulista;Arquibancada;44;V;3;2022;3;https://www.youtube.com/watch?v=ZfrjalHJbmA&feature=onebox
30/03/2022;qua;Morumbi;São Paulo F.C.;3;1;Palmeiras;Paulista;Arquibancada;150;V;3;2022;3;https://www.youtube.com/watch?v=ZPjWPEpSW_A&feature=onebox
10/04/2022;dom;Morumbi;São Paulo F.C.;4;0;Athletico-PR;Brasileiro;Arquibancada;33;V;3;2022;4;
14/04/2022;qui;Morumbi;São Paulo F.C.;2;0;Everton-CHI;Sul-Americana;Arquibancada;27,5;V;3;2022;4;https://www.youtube.com/watch?v=eEtoY_aHJG4&feature=onebox
02/05/2022;seg;Morumbi;São Paulo F.C.;2;1;Santos;Brasileiro;Arquibancada;38,5;V;3;2022;5;https://ge.globo.com/futebol/brasileirao-serie-a/stories/2022/05/02/sao-paulo-x-santos.ghtml?utm_source=google&utm_medium=onebox
15/05/2022;dom;Morumbi;São Paulo F.C.;2;1;Cuiabá;Brasileiro;Arquibancada;38,5;V;3;2022;5;
19/05/2022;qui;Morumbi;São Paulo F.C.;3;0;Jorge Wilstermann-BOL;Sul-Americana;Arquibancada;27,5;V;3;2022;5;https://www.youtube.com/watch?v=CgtyAIt6GFQ&feature=onebox
28/05/2022;sáb;Morumbi;São Paulo F.C.;2;2;Ceará;Brasileiro;Arquibancada;38,5;E;1;2022;5;
12/06/2022;dom;Morumbi;São Paulo F.C.;1;0;América-MG;Brasileiro;Arquibancada;38,5;V;3;2022;6;
20/06/2022;seg;Morumbi;São Paulo F.C.;1;2;Palmeiras;Brasileiro;Arquibancada;44;D;0;2022;6;
23/06/2022;qui;Morumbi;São Paulo F.C.;1;0;Palmeiras;Copa do Brasil;Arquibancada;55;V;3;2022;6;
26/06/2022;dom;Morumbi;São Paulo F.C.;0;0;Juventude;Brasileiro;Arquibancada;38,5;E;1;2022;6;
07/07/2022;qui;Morumbi;São Paulo F.C.;4;1;Universidad Católica-CHI;Sul-Americana;Arquibancada;38,5;V;3;2022;7;https://www.youtube.com/watch?v=eZ9vgMYhA8w&feature=onebox
17/07/2022;dom;Morumbi;São Paulo F.C.;2;2;Fluminense;Brasileiro;Arquibancada;38,5;E;1;2022;7;
23/07/2022;sáb;Morumbi;São Paulo F.C.;3;3;Goiás;Brasileiro;Arquibancada;38,5;E;1;2022;7;
28/07/2022;qui;Morumbi;São Paulo F.C.;1;0;América-MG;Copa do Brasil;Arquibancada;49,5;V;3;2022;7;https://ge.globo.com/sp/futebol/copa-do-brasil/jogo/28-07-2022/sao-paulo-america-mg.ghtml?video=10801302&utm_source=google&utm_medium=onebox#tr-video
03/08/2022;qua;Morumbi;São Paulo F.C.;1;0;Ceará;Sul-Americana;Cativa;165;V;3;2022;8;https://www.youtube.com/watch?v=YQ4uh0KHcDQ&feature=onebox
06/08/2022;sáb;Morumbi;São Paulo F.C.;0;2;Flamengo;Copa do Brasil;Arquibancada;49,5;D;0;2022;8;https://webstories.ge.globo.com/games/18841-06-08-22-So-Paulo-vs-Flamengo.html
24/08/2022;qua;Morumbi;São Paulo F.C.;1;3;Flamengo;Copa do Brasil;Arquibancada;38,5;D;0;2022;8;https://ge.globo.com/sp/futebol/copa-do-brasil/jogo/24-08-2022/sao-paulo-flamengo.ghtml?video=10879416
28/08/2022;dom;Morumbi;São Paulo F.C.;0;1;Fortaleza;Brasileiro;Arquibancada;38,5;D;0;2022;8;
08/09/2022;qui;Morumbi;São Paulo F.C.;2;0;Atlético-GO;Sul-Americana;Arquibancada;165;V;3;2022;9;https://www.youtube.com/watch?v=zEQnn74imzg&feature=onebox
11/09/2022;dom;Morumbi;São Paulo F.C.;1;1;Corinthians;Brasileiro;Arquibancada;38,5;E;1;2022;9;
25/09/2022;dom;Morumbi;São Paulo F.C.;4;0;Avaí;Brasileiro;Numerada;55;V;3;2022;9;
09/10/2022;dom;Morumbi;São Paulo F.C.;0;1;Botafogo-RJ;Brasileiro;Arquibancada;38,5;D;0;2022;10;
20/10/2022;qui;Morumbi;São Paulo F.C.;3;1;Coritiba;Brasileiro;Arquibancada;38,5;V;3;2022;10;
01/11/2022;ter;Morumbi;São Paulo F.C.;2;2;Atlético-MG;Brasileiro;Arquibancada;38,5;E;1;2022;11;
08/11/2022;ter;Morumbi;São Paulo F.C.;0;1;Internacional;Brasileiro;Arquibancada;38,5;D;0;2022;11;
15/01/2023;dom;Morumbi;São Paulo F.C.;0;0;Ituano;Paulista;Arquibancada;27,5;E;1;2023;1;https://www.youtube.com/watch?v=RtLunSYQYsY&feature=onebox
26/01/2023;qui;Morumbi;São Paulo F.C.;4;1;Portuguesa;Paulista;Numerada;27,5;V;3;2023;1;https://www.youtube.com/watch?v=kjq4MP_gimw&feature=onebox
29/01/2023;dom;Morumbi;São Paulo F.C.;1;2;Corinthians;Paulista;Arquibancada;77;D;0;2023;1;https://www.youtube.com/watch?v=6haIBI_zD9E&feature=onebox
12/02/2023;dom;Morumbi;São Paulo F.C.;3;1;Santos;Paulista;Numerada;27,5;V;3;2023;2;https://www.youtube.com/watch?v=xiD75Xq6Vxs&feature=onebox
15/02/2023;qua;Morumbi;São Paulo F.C.;5;1;Inter de Limeira;Paulista;Numerada;27,5;V;3;2023;2;https://www.youtube.com/watch?v=CwiXzpB0QD8&feature=onebox
13/03/2023;seg;Allianz;São Paulo F.C.;0;0;Água Santa;Paulista;Cadeira;165;E;1;2023;3;https://www.youtube.com/watch?v=Xfc3ilREA_M&feature=onebox
11/04/2023;ter;Morumbi;São Paulo F.C.;0;0;Ituano;Copa do Brasil;Arquibancada;27,5;E;1;2023;4;https://ge.globo.com/sp/futebol/copa-do-brasil/jogo/11-04-2023/sao-paulo-ituano.ghtml?video=11527275&utm_source=google&utm_medium=onebox#tr-video
18/04/2023;ter;Morumbi;São Paulo F.C.;2;0;A. Puerto Cabello-VEN;Sul-Americana;Numerada;27,5;V;3;2023;4;https://www.espn.com.br/video/clip/_/id/11923047?ex_cid=BrasilOneBox_Sudamericana
22/04/2023;sáb;Morumbi;São Paulo F.C.;3;0;América-MG;Brasileiro;Arquibancada;33;V;3;2023;4;https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/22-04-2023/sao-paulo-america-mg.ghtml?video=%2011558526&utm_source=google&utm_medium=onebox#tr-video
07/05/2023;dom;Morumbi;São Paulo F.C.;2;0;Internacional;Brasileiro;Arquibancada;44;V;3;2023;5;https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/07-05-2023/sao-paulo-internacional.ghtml?video=11597802&utm_source=google&utm_medium=onebox#tr-video
20/05/2023;sáb;Morumbi;São Paulo F.C.;4;2;Vasco;Brasileiro;Arquibancada;88;V;3;2023;5;https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/20-05-2023/sao-paulo-vasco.ghtml?video=11635086&utm_source=google&utm_medium=onebox#tr-video
27/05/2023;sáb;Morumbi;São Paulo F.C.;2;1;Goiás;Brasileiro;Numerada;33;V;3;2023;5;https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/27-05-2023/sao-paulo-goias.ghtml?video=11653913&utm_source=google&utm_medium=onebox#tr-video
01/06/2023;qui;Morumbi;São Paulo F.C.;1;3;Sport;Copa do Brasil;Arquibancada;44;D;0;2023;6;https://ge.globo.com/sp/futebol/copa-do-brasil/jogo/01-06-2023/sao-paulo-sport.ghtml?video=11666882&utm_source=google&utm_medium=onebox#tr-video
08/06/2023;qui;Morumbi;São Paulo F.C.;5;0;Tolima-COL;Sul-Americana;Arquibancada;44;V;3;2023;6;https://www.espn.com.br/video/clip/_/id/12170781?ex_cid=BrasilOneBox_Sudamericana
11/06/2023;dom;Morumbi;São Paulo F.C.;0;2;Palmeiras;Brasileiro;Arquibancada;49,5;D;0;2023;6;https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/11-06-2023/sao-paulo-palmeiras.ghtml?video=11691392&utm_source=google&utm_medium=onebox#tr-video
21/06/2023;qua;Morumbi;São Paulo F.C.;2;1;Athletico-PR;Brasileiro;Numerada;33;V;3;2023;6;https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/21-06-2023/sao-paulo-atletico-pr.ghtml?video=11719993&utm_source=google&utm_medium=onebox#tr-video
